multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio
40,VTIIAHV,2023-04-30,00:00,71.0,60,AV LIBERTADOR,R03,APELADA,11.0,8.0,,,
41,6611172,2022-02-26,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,49.0,46.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
44,GCP332,1932-01-01,14:02,106.0,40,AV LIBERTADOR,,IMPAGA,66.0,64.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,GCP332,1.0
47,W326AVE,1932-01-01,00:00,70.0,60,RUTA 9,R01,IMPAGA,10.0,7.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
49,810TCH,1932-01-01,00:00,156.0,80,AV LIBERTADOR,R02,ERROR,76.0,72.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/53ad98b12752ad16_patente.jpg,810TCH,1.0
50,GCP332,1932-01-01,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,26.0,24.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,GCP332,1.0
51,BB8986,1932-01-01,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,6.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,1.0
53,HF58HXP,1932-01-01,00:00,50.0,40,AV SIEMPRE VIVA,R02,PAGADA,10.0,8.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571
55,9999868,1932-01-01,00:00,57.0,40,AV SIEMPRE VIVA,R01,ERROR,17.0,15.0,,,
56,VTIIAHV,1932-01-01,08:03,54.0,40,AV LIBERTADOR,R01,ERROR,14.0,12.0,,,
57,NTHGLFT,1932-01-01,00:00,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,13.0,9.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5fb888d79b551331.jpg,NTHGLFT,1.0
59,FD1475,1932-01-01,14:03,59.0,40,RUTA 9,R02,PAGADA,19.0,17.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,0.8333
60,FVIOUHP,1932-01-01,18:02,124.0,80,RUTA 9,R01,APELADA,44.0,40.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,0.8571
61,VY90540,1932-01-01,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,1.0
63,6NCE831,1932-01-01,08:03,81.0,60,AV LIBERTADOR,R02,ERROR,21.0,18.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/0ee91c4938b6e7ee_patente.jpg,6NCE831,1.0
64,M431ZW,1932-01-01,00:00,86.0,80,RUTA 9,R01,APELADA,6.0,2.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.8333
66,NTHGLFT,1932-01-01,08:04,152.0,80,RUTA 9,R03,IMPAGA,72.0,68.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5fb888d79b551331.jpg,NTHGLFT,1.0
68,HK06YMX,1932-01-01,14:03,76.0,40,AV SIEMPRE VIVA,,PAGADA,36.0,34.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571
69,VNK296GP,1932-01-01,18:02,77.0,40,RUTA 9,R03,IMPAGA,37.0,35.0,,,
71,RFH373,1932-01-01,00:00,116.0,80,AV LIBERTADOR,R01,PAGADA,36.0,32.0,,,
72,HK06YMX,1932-01-01,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,44.0,41.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571
75,W326AVE,2021-04-21,00:00,57.0,40,AV LIBERTADOR,R01,PAGADA,17.0,15.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
77,B81JKY,1932-01-01,00:00,83.0,40,RUTA 9,R01,PAGADA,43.0,41.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,B81JKY,1.0
79,MVU4688,1932-01-01,08:04,96.0,60,AV SIEMPRE VIVA,R02,ERROR,36.0,33.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,1.0
81,8B90638,1932-01-01,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,48.0,45.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/6a0ef049e5ec4b16_patente.jpg,8B90638,1.0
82,5777770,2020-02-13,00:00,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,18.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
88,NAN,1932-01-01,18:03,148.0,80,AV LIBERTADOR,R01,PAGADA,68.0,64.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/b01d46f9911d558b.jpg,NAN,1.0
90,MVU4688,1932-01-01,18:04,49.0,40,RUTA 9,,PAGADA,9.0,7.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,1.0
91,INTIGR8,2023-07-09,00:00,148.0,80,AV LIBERTADOR,R01,PAGADA,68.0,64.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/da1352ab6054a2e4_patente.jpg,INTIGR8,1.0
92,CD05601,1932-01-01,14:04,103.0,40,AV LIBERTADOR,R02,ERROR,63.0,61.0,,,
93,3646HBH,1932-01-01,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,13.0,10.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,1.0
101,RFH373,1932-01-01,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,61.0,59.0,,,
102,B81JKY,1932-01-01,18:04,147.0,80,AV LIBERTADOR,R02,ERROR,67.0,63.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,B81JKY,1.0
103,5777770,2020-05-19,00:00,91.0,60,AV LIBERTADOR,R03,ERROR,31.0,28.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
104,CD05601,1932-01-01,18:04,114.0,60,AV LIBERTADOR,,APELADA,54.0,51.0,,,
106,WEFLYN,1932-01-01,00:00,77.0,40,RUTA 9,,IMPAGA,37.0,35.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/29f7991e696e6e3f_patente.jpg,WEFLYN,1.0
109,DI2LOT,2021-08-12,00:00,77.0,60,AV SIEMPRE VIVA,R03,PAGADA,17.0,14.0,,,
114,BX55DOG,1932-01-01,18:05,121.0,60,RUTA 9,,ERROR,61.0,58.0,,,
127,8B90638,1932-01-01,14:04,116.0,40,AV SIEMPRE VIVA,R01,ERROR,76.0,74.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/6a0ef049e5ec4b16_patente.jpg,8B90638,1.0
129,T0YDR,1932-01-01,00:00,123.0,80,AV SIEMPRE VIVA,R02,PAGADA,43.0,39.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/4cb48c8bf41b70a4_patente.jpg,TBYDR,0.8
131,409,1932-01-01,00:00,106.0,80,AV SIEMPRE VIVA,R01,PAGADA,26.0,22.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7bcf6b4ec09f1ea7_patente.jpg,409,1.0
134,UW3932,1932-01-01,18:06,101.0,80,RUTA 9,R01,APELADA,21.0,17.0,,,
138,831MDB,1932-01-01,18:06,153.0,80,AV SIEMPRE VIVA,R03,ERROR,73.0,69.0,,,
140,MVU4688,1932-01-01,00:00,110.0,60,AV LIBERTADOR,R03,PAGADA,50.0,47.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,1.0
141,INTIGR8,1932-01-01,00:00,108.0,60,AV LIBERTADOR,R03,IMPAGA,48.0,45.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/da1352ab6054a2e4_patente.jpg,INTIGR8,1.0
144,HF58HXP,1932-01-01,08:06,79.0,40,RUTA 9,R03,ERROR,39.0,37.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.8571
146,T0YDR,1932-01-01,18:07,125.0,80,AV LIBERTADOR,R02,APELADA,45.0,41.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/4cb48c8bf41b70a4_patente.jpg,TBYDR,0.8
147,WEFLYN,1932-01-01,00:00,129.0,60,AV SIEMPRE VIVA,,ERROR,69.0,66.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/29f7991e696e6e3f_patente.jpg,WEFLYN,1.0
148,FD1475,1932-01-01,00:00,106.0,80,AV LIBERTADOR,R03,ERROR,26.0,22.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,0.8333
149,990XYK,1932-01-01,14:05,109.0,80,AV LIBERTADOR,,APELADA,29.0,25.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/11f80fda2c38011c.jpg,990XWK,0.8333
150,INTIGR8,1932-01-01,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,40.0,37.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/da1352ab6054a2e4_patente.jpg,INTIGR8,1.0
155,691XC80,1932-01-01,00:00,116.0,80,RUTA 9,R01,PAGADA,36.0,32.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,1.0
161,990XYK,2020-04-26,00:00,82.0,60,AV LIBERTADOR,R01,APELADA,22.0,19.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/11f80fda2c38011c.jpg,990XWK,0.8333
162,NTHGLFT,1932-01-01,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,58.0,55.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5fb888d79b551331.jpg,NTHGLFT,1.0
164,MVU4688,1932-01-01,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/3feecc5809a29627_patente.jpg,MVU4688,1.0
165,GE1466,1932-01-01,00:00,108.0,40,AV LIBERTADOR,,APELADA,68.0,66.0,,,
166,BM351,2020-02-24,14:05,112.0,80,RUTA 9,,ERROR,32.0,28.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,1.0
170,WEFLYN,2021-01-18,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,8.0,4.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/29f7991e696e6e3f_patente.jpg,WEFLYN,1.0
171,CD05601,2023-08-11,00:00,75.0,40,RUTA 9,R03,IMPAGA,35.0,33.0,,,
172,810TCH,1932-01-01,14:05,110.0,40,RUTA 9,R03,APELADA,70.0,68.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/53ad98b12752ad16_patente.jpg,810TCH,1.0
176,B81JKY,1932-01-01,00:00,91.0,60,AV SIEMPRE VIVA,R01,PAGADA,31.0,28.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,B81JKY,1.0
178,WU341A,1932-01-01,00:00,70.0,60,RUTA 9,R02,PAGADA,10.0,7.0,,,
182,NAN,1932-01-01,00:00,107.0,60,AV LIBERTADOR,R01,PAGADA,47.0,44.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/b01d46f9911d558b.jpg,NAN,1.0
183,UM96201,1932-01-01,08:08,102.0,40,AV SIEMPRE VIVA,R03,PAGADA,62.0,60.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/09453a7c716a9ef3_patente.jpg,UM96201,1.0
184,81ZFJD,1932-01-01,00:00,111.0,80,RUTA 9,R03,ERROR,31.0,27.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/02a6ef3d9bd68e91_patente.jpg,81ZFID,0.8333
188,TL03GOG,1932-01-01,08:08,93.0,40,RUTA 9,,PAGADA,53.0,51.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/fdd963edc28bf163_patente.jpg,TL03G0G,0.8571
190,VNK296GP,1932-01-01,00:00,153.0,80,AV LIBERTADOR,R01,PAGADA,73.0,69.0,,,
191,VY90540,1932-01-01,08:08,98.0,60,RUTA 9,,IMPAGA,38.0,35.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,1.0
192,YLO8WUE,1932-01-01,18:09,140.0,80,AV SIEMPRE VIVA,,ERROR,60.0,56.0,,,
193,3646HBH,1932-01-01,00:00,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,77.0,75.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d3729058c6a4186e_patente.jpg,3646HBH,1.0
197,DK414N,1932-01-01,00:00,69.0,40,AV SIEMPRE VIVA,,APELADA,29.0,27.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/2a3e44107826e876_patente.jpg,DK414N,1.0
200,5777770,1932-01-01,14:06,85.0,60,RUTA 9,R02,PAGADA,25.0,22.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
202,6611172,1932-01-01,18:09,137.0,60,RUTA 9,R03,ERROR,77.0,74.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
204,6611172,1932-01-01,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,13.0,9.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
207,OUTSTDN,1932-01-01,14:07,159.0,80,AV SIEMPRE VIVA,R02,PAGADA,79.0,75.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/1ca1155083156d72_patente.jpg,OUTSTDN,1.0
208,VNK296GP,1932-01-01,00:00,79.0,60,AV LIBERTADOR,R02,ERROR,19.0,16.0,,,
209,GN64OTP,1932-01-01,18:09,97.0,60,RUTA 9,,IMPAGA,37.0,34.0,,,
211,2999961,1932-01-01,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/5ff91ccfc6f15d04_patente.jpg,2999961,1.0
216,M431ZW,1932-01-01,00:00,109.0,60,RUTA 9,R03,APELADA,49.0,46.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.8333
217,B81JKY,1932-01-01,00:00,92.0,40,RUTA 9,R03,APELADA,52.0,50.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/80e02a518ffe4cb2.jpg,B81JKY,1.0
218,5777770,1932-01-01,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,66.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
221,RFH373,2021-11-24,00:00,156.0,80,AV SIEMPRE VIVA,R02,APELADA,76.0,72.0,,,
222,XIIUME,2023-06-25,18:10,83.0,60,AV SIEMPRE VIVA,R03,ERROR,23.0,20.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
227,CD05601,1932-01-01,14:07,109.0,80,AV LIBERTADOR,,IMPAGA,29.0,25.0,,,
228,CT5B876,1932-01-01,18:10,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,0.8571
229,8B90638,2022-06-16,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,44.0,41.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/6a0ef049e5ec4b16_patente.jpg,8B90638,1.0
231,AI7OVF,2021-04-05,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,45.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,0.8333
233,NHZ1002,1932-01-01,18:10,108.0,40,AV SIEMPRE VIVA,R01,APELADA,68.0,66.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/1071b237587a698b_patente.qoi,NHZ1002,1.0
236,831MDB,1932-01-01,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,7.0,,,
240,W326AVE,2020-07-31,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,20.0,16.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
241,CT5B876,1932-01-01,18:11,65.0,40,RUTA 9,R03,ERROR,25.0,23.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/39c193bcc0c00f9e_patente.jpg,C75B876,0.8571
243,NHZ1002,1932-01-01,00:00,116.0,40,AV LIBERTADOR,R02,IMPAGA,76.0,74.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/1071b237587a698b_patente.qoi,NHZ1002,1.0
247,GN64OTP,1932-01-01,18:11,141.0,80,RUTA 9,R02,APELADA,61.0,57.0,,,
248,VY90540,1932-01-01,18:11,123.0,60,AV LIBERTADOR,,ERROR,63.0,60.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,1.0
249,6611172,1932-01-01,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,18.0,15.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
256,XIIUME,1932-01-01,00:00,125.0,80,AV SIEMPRE VIVA,R03,ERROR,45.0,41.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
257,BM351,2023-03-31,14:08,78.0,40,AV SIEMPRE VIVA,R02,ERROR,38.0,36.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/9995dfc6e0eae5a1_patente.jpg,BM351,1.0
258,NAN,2021-07-31,18:12,104.0,80,AV SIEMPRE VIVA,,APELADA,24.0,20.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/b01d46f9911d558b.jpg,NAN,1.0
259,HAMSTUR,1932-01-01,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,61.0,57.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/a929dc75c20da7d8_patente.jpg,HAMSTUR,1.0
262,BHRP770,2020-03-29,00:00,94.0,60,AV LIBERTADOR,R01,ERROR,34.0,31.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,1.0
263,990XYK,1932-01-01,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,38.0,35.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/11f80fda2c38011c.jpg,990XWK,0.8333
268,GLEN1E,2023-09-03,14:09,68.0,60,AV LIBERTADOR,,APELADA,8.0,5.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/b9f5b9acf1777acf.jpg,GLENIE,0.8333
275,WEFLYN,2022-03-15,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,59.0,55.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/29f7991e696e6e3f_patente.jpg,WEFLYN,1.0
285,41RSTZ,1932-01-01,14:10,153.0,80,AV LIBERTADOR,R02,ERROR,73.0,69.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/86c92b0402fec141_patente.jpg,41RSTZ,1.0
288,GCP332,1932-01-01,08:11,91.0,80,RUTA 9,,IMPAGA,11.0,7.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d648b2ae1abc09f3_patente.jpg,GCP332,1.0
294,810TCH,2023-11-09,18:14,82.0,40,RUTA 9,R03,IMPAGA,42.0,40.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/53ad98b12752ad16_patente.jpg,810TCH,1.0
297,GOOGLE,2022-07-22,00:00,88.0,60,AV SIEMPRE VIVA,R03,APELADA,28.0,25.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/593e594137f374ab.jpg,GOOGLE,1.0
298,VY90540,1932-01-01,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/288a95c01e43cd14_patente.jpg,VY90540,1.0
301,J1S1,1932-01-01,00:00,121.0,80,AV SIEMPRE VIVA,,PAGADA,41.0,37.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/e82f13b4a2fe69f3_patente_1.jpg,J1S1,1.0
302,GN64OTP,1932-01-01,18:14,157.0,80,RUTA 9,R03,ERROR,77.0,73.0,,,
303,CBMUK,1932-01-01,14:10,99.0,60,AV LIBERTADOR,R01,APELADA,39.0,36.0,,,
306,XIIUME,1932-01-01,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,53.0,49.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b_patente.jpg,XIIUME,1.0
307,409,1932-01-01,18:14,96.0,40,RUTA 9,R01,PAGADA,56.0,54.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/7bcf6b4ec09f1ea7_patente.jpg,409,1.0
308,FD1475,2022-09-13,08:12,153.0,80,RUTA 9,,ERROR,73.0,69.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,0.8333
309,VTIIAHV,1932-01-01,14:10,124.0,60,RUTA 9,R02,ERROR,64.0,61.0,,,
311,CBMUK,1932-01-01,00:00,120.0,40,RUTA 9,R01,PAGADA,80.0,78.0,,,
312,NAN,1932-01-01,00:00,50.0,40,AV LIBERTADOR,R01,ERROR,10.0,8.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/b01d46f9911d558b.jpg,NAN,1.0
315,MPX9357,2020-02-10,00:00,104.0,60,AV LIBERTADOR,R03,IMPAGA,44.0,41.0,/content/tp-herramientas-de-softw/urban_flow/data/raw/imgs/urban_flow_plates/182268e1f8c6525f_patente.jpg,MPX9357,1.0
317,GN64OTP,1932-01-01,18:15,88.0,80,RUTA 9,R01,IMPAGA,8.0,4.0,,,
319,WU341A,1932-01-01,00:00,73.0,40,AV LIBERTADOR,R02,IMPAGA,33.0,31.0,,,
